Year,MO,DY,WS2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,WS10M,PS,WD10M,SSM,SUSM
2016,5,10,1.74,28.17,41.4,13.42,0.13,2.57,98.07,152.44,2.543,11.626
2016,5,11,1.48,28.85,41.08,13.69,2.6,2.18,98.01,203.94,2.541,11.653
2016,5,12,1.75,28.28,41.13,13.08,0.0,2.57,97.67,308.5,2.536,11.59
2016,5,13,1.67,28.49,43.55,11.01,0.03,2.44,97.56,278.88,2.53,11.527
2016,5,14,2.04,28.7,44.37,7.32,0.0,3.14,97.7,287.5,2.525,11.464
2016,5,15,2.56,28.3,44.89,9.29,0.0,3.74,97.73,306.81,2.522,11.452
2016,5,16,2.79,27.73,45.05,6.08,0.0,4.12,97.51,296.5,2.52,11.44
2016,5,17,3.07,28.79,45.25,4.83,0.0,4.47,97.32,302.81,2.517,11.428
2016,5,18,2.3,27.67,45.86,4.01,0.0,3.34,97.25,297.06,2.521,11.466
2016,5,19,2.06,29.27,45.8,4.92,0.0,2.89,97.28,154.81,2.524,11.505
2016,5,20,2.05,29.41,45.63,6.27,0.0,2.95,97.17,201.12,2.528,11.543
2016,5,21,1.98,29.0,46.35,6.21,2.25,2.96,97.04,221.75,3.037,12.297
2016,5,22,2.12,29.51,47.07,11.19,0.01,3.06,97.12,213.44,3.545,13.052
2016,5,23,1.7,30.1,43.3,15.47,3.34,2.4,97.33,216.06,4.054,13.806
2016,5,24,2.04,30.36,38.92,18.73,7.04,2.98,97.44,211.38,3.602,13.727
2016,5,25,2.41,27.18,40.62,14.11,0.0,3.61,97.21,307.19,3.149,13.647
2016,5,26,2.02,27.34,42.37,13.25,1.07,3.05,97.32,254.06,2.697,13.568
2016,5,27,4.02,29.8,44.6,13.3,0.0,5.62,97.39,284.81,2.842,13.668
2016,5,28,3.56,30.13,43.08,13.8,0.1,4.87,97.38,278.81,2.988,13.767
2016,5,29,1.84,28.28,38.19,18.03,15.53,2.7,97.45,209.62,3.133,13.867
2016,5,30,1.88,26.77,38.23,18.51,2.82,2.69,97.66,217.38,2.964,13.674
2016,5,31,2.38,25.35,41.23,16.02,0.0,3.45,97.71,272.12,2.795,13.48
2016,6,1,2.62,28.77,41.95,17.44,0.0,3.71,97.7,275.19,2.626,13.287
2016,6,2,3.73,29.14,43.62,14.43,0.0,5.16,97.61,287.25,2.602,12.917
2016,6,3,1.93,28.05,44.03,12.98,0.05,2.9,97.66,257.44,2.578,12.548
2016,6,4,1.41,28.87,44.5,13.65,0.2,2.19,97.66,258.06,2.554,12.178
2016,6,5,0.98,30.12,44.63,12.83,0.04,1.53,97.65,191.75,2.548,12.05
2016,6,6,1.62,30.86,43.76,14.05,2.13,2.5,97.63,189.69,2.541,11.923
2016,6,7,1.44,27.83,41.73,14.51,4.64,2.28,97.59,132.5,2.535,11.795
2016,6,8,1.55,27.11,44.3,11.94,0.09,2.21,97.39,185.12,2.525,11.729
2016,6,9,2.02,29.46,44.8,11.51,0.22,2.91,97.25,207.12,2.516,11.663
2016,6,10,2.23,30.94,44.95,13.22,0.11,3.09,97.21,218.0,2.506,11.597
2016,6,11,3.09,31.71,43.86,15.94,0.86,4.2,97.31,281.19,2.888,11.637
2016,6,12,3.34,32.48,43.94,17.42,0.01,4.48,97.3,276.69,3.27,11.676
2016,6,13,4.02,32.15,43.87,19.3,0.91,5.4,97.25,274.0,3.652,11.716
2016,6,14,3.8,30.27,41.4,19.12,0.67,5.15,97.22,270.38,3.465,12.63
2016,6,15,1.91,31.07,40.06,19.94,11.26,2.71,97.08,228.69,3.277,13.545
2016,6,16,1.77,28.11,39.12,21.12,12.41,2.62,97.28,145.25,3.09,14.459
2016,6,17,1.18,28.86,41.64,17.62,0.07,1.75,97.38,182.75,3.016,14.099
2016,6,18,1.46,29.23,42.05,16.73,0.09,2.21,97.51,143.56,2.942,13.74
2016,6,19,2.02,30.62,41.06,20.65,0.22,2.84,97.59,149.0,2.868,13.38
2016,6,20,1.71,31.38,40.9,20.86,1.42,2.4,97.45,144.31,2.798,13.258
2016,6,21,2.38,30.27,40.59,21.53,1.46,3.2,97.4,165.12,2.727,13.136
2016,6,22,1.41,30.07,39.3,20.73,0.97,1.98,97.56,190.5,2.657,13.014
2016,6,23,2.19,30.16,41.09,21.05,0.06,2.99,97.44,242.94,2.622,12.744
2016,6,24,1.93,31.03,43.11,17.82,0.0,2.7,97.23,282.38,2.586,12.475
